rho          phi          image        mask         PSNR         SSIM         NRMSE       
100.000      0.200        3            0            46.837       0.996        0.032       
100.000      0.200        3            1            37.936       0.993        0.082       
100.000      0.200        3            2            46.243       0.997        0.034       
100.000      0.200        3            3            41.048       0.995        0.060       
100.000      0.200        3            4            43.037       0.995        0.046       
100.000      0.200        3            5            44.119       0.997        0.044       
100.000      0.200        3            6            46.902       0.995        0.032       
100.000      0.200        3            7            49.184       0.997        0.025       
100.000      0.200        3            8            45.557       0.998        0.038       
100.000      0.200        3            9            40.767       0.989        0.042       
100.000      0.200        3            10           44.844       0.991        0.037       
100.000      0.200        3            11           47.154       0.997        0.031       
100.000      0.200        3            12           43.939       0.996        0.044       
100.000      0.200        3            13           44.959       0.995        0.041       
100.000      0.200        3            14           49.236       0.997        0.025       
100.000      0.200        3            15           48.956       0.998        0.025       
100.000      0.200        3            16           45.429       0.995        0.038       
100.000      0.200        3            17           45.313       0.997        0.039       
100.000      0.200        3            18           49.495       0.998        0.024       
100.000      0.200        3            19           48.806       0.997        0.026       
100.000      0.200        3            20           47.791       0.995        0.029       
100.000      0.200        3            21           47.631       0.996        0.030       
100.000      0.200        3            22           46.847       0.997        0.032       
100.000      0.200        3            23           46.920       0.993        0.032       
100.000      0.200        3            24           38.072       0.993        0.068       
100.000      0.200        3            25           39.605       0.996        0.064       
100.000      0.200        3            26           46.562       0.994        0.033       
100.000      0.200        3            27           46.006       0.995        0.035       
100.000      0.200        3            28           45.467       0.996        0.038       
100.000      0.200        3            29           48.129       0.997        0.028       
100.000      0.200        3            30           46.843       0.995        0.032       
100.000      0.200        3            31           48.799       0.997        0.026       
100.000      0.200        3            32           45.431       0.995        0.039       
100.000      0.200        3            33           45.321       0.991        0.039       
100.000      0.200        3            34           44.676       0.997        0.035       
100.000      0.200        3            35           45.739       0.996        0.037       
100.000      0.200        3            36           45.083       0.995        0.040       
100.000      0.200        3            37           42.295       0.993        0.041       
100.000      0.200        3            38           45.783       0.993        0.037       
100.000      0.200        3            39           44.796       0.993        0.041       
100.000      0.200        3            40           45.176       0.993        0.036       
100.000      0.200        3            41           45.005       0.995        0.040       
100.000      0.200        4            0            46.882       0.996        0.031       
100.000      0.200        4            1            38.144       0.993        0.080       
100.000      0.200        4            2            46.335       0.997        0.034       
100.000      0.200        4            3            41.028       0.995        0.060       
100.000      0.200        4            4            44.391       0.996        0.039       
100.000      0.200        4            5            44.211       0.997        0.043       
100.000      0.200        4            6            47.393       0.996        0.030       
100.000      0.200        4            7            49.167       0.997        0.025       
100.000      0.200        4            8            45.576       0.998        0.037       
100.000      0.200        4            9            41.103       0.991        0.041       
100.000      0.200        4            10           44.672       0.993        0.038       
100.000      0.200        4            11           47.231       0.997        0.031       
100.000      0.200        4            12           43.864       0.996        0.044       
100.000      0.200        4            13           45.017       0.996        0.040       
100.000      0.200        4            14           49.326       0.998        0.024       
100.000      0.200        4            15           48.982       0.998        0.025       
100.000      0.200        4            16           45.402       0.995        0.038       
100.000      0.200        4            17           45.311       0.997        0.039       
100.000      0.200        4            18           49.510       0.998        0.024       
100.000      0.200        4            19           48.834       0.997        0.026       
100.000      0.200        4            20           47.692       0.995        0.029       
100.000      0.200        4            21           47.669       0.997        0.030       
100.000      0.200        4            22           46.932       0.997        0.032       
100.000      0.200        4            23           46.981       0.994        0.032       
100.000      0.200        4            24           38.111       0.993        0.067       
100.000      0.200        4            25           39.532       0.996        0.065       
100.000      0.200        4            26           46.381       0.995        0.034       
100.000      0.200        4            27           46.118       0.995        0.034       
100.000      0.200        4            28           45.499       0.996        0.037       
100.000      0.200        4            29           48.149       0.997        0.028       
100.000      0.200        4            30           46.775       0.995        0.032       
100.000      0.200        4            31           48.770       0.997        0.026       
100.000      0.200        4            32           45.408       0.995        0.038       
100.000      0.200        4            33           45.422       0.991        0.038       
100.000      0.200        4            34           45.000       0.997        0.034       
100.000      0.200        4            35           46.221       0.996        0.034       
100.000      0.200        4            36           46.006       0.996        0.035       
100.000      0.200        4            37           42.456       0.994        0.041       
100.000      0.200        4            38           46.100       0.994        0.035       
100.000      0.200        4            39           45.326       0.994        0.038       
100.000      0.200        4            40           45.539       0.994        0.035       
100.000      0.200        4            41           45.066       0.996        0.040       
100.000      0.200        5            0            46.222       0.996        0.035       
100.000      0.200        5            1            37.903       0.993        0.085       
